YEAR,TEAM ID,TEAM,CONF,SEED,ROUND,W,L,win_pct,GAMES,KADJ EM,KADJ O,KADJ D,BARTHAG,BADJ EM,3PT%,3PTR,3PT%D,3PTRD,EFG%,EFG%D,2PT%,2PT%D,2PTR,2PTRD,KADJ T,K TEMPO,PPPO,FT%,FTR,TALENT,EXP,WAB,ELITE SOS,THREES FG%,THREES SHARE,THREES FG%D,THREES D SHARE,CLOSE TWOS FG%,CLOSE TWOS SHARE,FARTHER TWOS FG%,FARTHER TWOS SHARE,DUNKS FG%,DUNKS SHARE,tournament_round,made_tournament,reached_s16,has_shot_splits,three_rate_category,three_pct_category,three_pct_net,three_rate_net,three_value,3PA,3PM,2PA,2PM
2026,113,Miami FL,ACC,7,0,25,8,75.75757576,33,20.6799,121.357,100.677,0.884,19.611,34.7,31.7,35.4,40.9,55.6,51.7,57.2,50.8,68.3,59.1,67.5506,69.3367,1.182,68.5,37.5,80.783,1.67,3.8,29.331,34.7,31.6,35.4,40.9,64.8,46.7,41.0,21.6,85.4,12.7,0,0,0,1,Mid-Low (Q2),Mid-Low (Q2),-0.6999999999999957,-9.2,32.999700000000004,626,217,1350,772
2026,256,Miami OH,MAC,11,0,28,1,96.55172414,29,8.2572,116.779,108.522,0.718,9.1,37.5,44.6,33.0,36.8,59.2,50.8,61.5,51.6,55.4,63.2,69.947,71.2663,1.203,75.0,40.2,11.186,1.693,2.5,8.266,37.5,44.6,33.0,36.8,68.2,39.9,44.1,15.4,96.2,5.6,0,0,0,1,High (Q4),Mid-High (Q3),4.5,7.800000000000004,50.175000000000004,746,280,928,571
2026,114,Michigan,B10,1,0,31,3,91.17647059,34,37.592,126.626,89.0343,0.98,36.587,36.0,41.8,30.2,41.8,58.1,44.7,61.0,44.3,58.2,58.2,70.9486,71.3221,1.213,74.7,37.7,69.852,1.947,14.0,41.856,36.0,41.8,30.2,41.8,68.1,43.2,40.4,15.0,91.1,15.1,0,0,0,1,High (Q4),Mid-High (Q3),5.800000000000001,0.0,45.144,852,307,1186,723
2026,115,Michigan St.,B10,3,0,25,7,78.125,32,28.31,123.049,94.7386,0.944,26.73,35.9,36.4,32.9,46.0,53.6,48.6,53.4,48.0,63.6,54.0,66.0475,66.801,1.173,76.3,36.2,68.794,1.815,7.4,37.86,35.9,36.4,32.9,46.0,66.1,33.1,39.7,30.5,90.3,12.9,0,0,0,1,Mid-High (Q3),Mid-High (Q3),3.0,-9.600000000000001,39.202799999999996,677,243,1183,632
2026,122,Missouri,SEC,10,0,20,12,62.5,32,15.3923,119.491,104.099,0.851,16.894,35.0,36.0,36.5,43.1,55.3,51.4,56.9,48.9,64.0,56.9,66.1629,68.3597,1.156,68.6,42.5,66.401,2.282,1.2,34.025,35.0,36.0,36.5,43.1,66.3,44.4,35.9,19.6,95.7,12.0,0,0,0,1,Mid-High (Q3),Mid-Low (Q2),-1.5,-7.100000000000001,37.8,651,228,1158,659
2026,129,Nebraska,B10,4,0,26,6,81.25,32,26.1577,118.544,92.3865,0.931,23.771,35.3,50.7,29.9,49.3,55.4,47.8,58.1,50.6,49.3,50.7,66.7205,67.2763,1.14,75.0,27.2,42.458,2.26,7.5,35.291,35.3,50.7,29.9,49.3,69.7,32.7,35.0,16.5,91.4,3.8,0,0,0,1,High (Q4),Mid-Low (Q2),5.399999999999999,1.4000000000000057,53.6913,948,335,923,536
2026,135,North Carolina,ACC,6,0,24,8,75.0,32,20.842,121.387,100.545,0.903,21.415,34.5,42.3,34.5,36.9,54.6,48.2,56.7,46.1,57.7,63.1,67.9079,68.7852,1.16,68.4,37.4,63.835,1.523,4.9,33.421,34.5,42.3,34.5,36.9,65.3,36.8,41.4,20.9,87.9,15.8,0,0,0,1,High (Q4),Mid-Low (Q2),0.0,5.399999999999999,43.780499999999996,801,276,1093,620
2026,138,North Carolina St.,ACC,11,0,20,13,60.60606061,33,19.5967,124.052,104.456,0.877,19.444,38.8,43.9,35.6,45.3,55.3,53.0,53.1,52.7,56.1,54.7,69.0586,69.5893,1.19,76.8,35.2,63.205,2.189,0.34,32.779,38.8,43.9,35.6,45.3,61.3,38.7,34.7,17.4,87.0,8.9,0,0,0,1,High (Q4),High (Q4),3.1999999999999957,-1.3999999999999986,51.099599999999995,872,338,1114,592
2026,140,North Dakota St.,Sum,14,0,24,7,77.41935484,31,5.13396,111.74,106.606,0.639,5.41,35.7,42.7,33.5,44.4,53.4,51.5,53.2,52.6,57.3,55.6,66.2972,68.0273,1.145,71.6,30.7,0.2,1.834,-3.4,8.155,35.7,42.7,33.5,44.4,60.4,36.9,40.1,20.4,94.8,7.1,0,0,0,1,High (Q4),Mid-Low (Q2),2.200000000000003,-1.6999999999999957,45.73170000000001,801,286,1074,571
2026,145,Northern Iowa,MVC,12,0,22,12,64.70588235,34,11.8089,110.001,98.1918,0.774,11.129,34.9,39.6,28.9,41.5,54.2,47.2,55.3,50.0,60.4,58.5,62.2651,63.4121,1.081,69.7,25.7,19.874,2.321,-5.3,14.539,34.9,39.6,28.9,41.5,61.8,39.8,43.0,20.6,87.5,8.5,0,0,0,1,High (Q4),Mid-Low (Q2),6.0,-1.8999999999999986,41.4612,731,255,1114,616
