teamstatspk,team,win_percentage,minutes,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,playoff_stage,three_point_volume,three_point_contribution,season_year,three_pt_tier
236,Los Angeles Lakers,0.2,48.0,98.0,38.0,86.0,0.442,6.4,19.8,0.32299999999999995,15.6,21.6,0.722,2006-07,R1 Exit,0.2302325581395349,0.1959183673469388,2006,Low
237,Miami Heat,0.0,48.0,88.8,33.3,74.8,0.445,5.5,17.0,0.324,16.8,27.3,0.615,2006-07,R1 Exit,0.2272727272727273,0.18581081081081083,2006,Low
238,Orlando Magic,0.0,48.0,88.0,34.5,72.3,0.478,2.5,7.3,0.345,16.5,28.5,0.579,2006-07,R1 Exit,0.10096818810511757,0.08522727272727272,2006,Medium
239,Washington Wizards,0.0,48.0,91.5,34.3,83.0,0.413,6.3,20.5,0.305,16.8,21.8,0.77,2006-07,R1 Exit,0.2469879518072289,0.2065573770491803,2006,Low
240,Miami Heat,0.696,48.2,96.3,34.8,72.4,0.48100000000000004,6.3,19.1,0.33299999999999996,20.3,30.9,0.655,2005-06,Champion,0.2638121546961326,0.19626168224299065,2005,Medium
241,Dallas Mavericks,0.609,48.9,99.7,36.1,80.1,0.451,4.8,15.1,0.317,22.7,28.0,0.809,2005-06,Finals,0.1885143570536829,0.14443329989969908,2005,Low
242,Los Angeles Clippers,0.583,48.8,105.7,39.7,80.8,0.491,4.5,11.9,0.37799999999999995,21.8,26.8,0.816,2005-06,Conf Semis,0.1472772277227723,0.12771996215704826,2005,High
243,Detroit Pistons,0.556,48.0,91.7,32.1,74.3,0.43200000000000005,6.9,18.5,0.37200000000000005,20.6,28.4,0.7240000000000001,2005-06,Conf Finals,0.2489905787348587,0.22573609596510363,2005,High
244,Cleveland Cavaliers,0.538,48.8,90.4,33.6,76.8,0.43700000000000006,4.2,13.2,0.32,18.9,24.8,0.764,2005-06,Conf Semis,0.171875,0.13938053097345132,2005,Low
245,San Antonio Spurs,0.538,49.2,103.1,36.5,74.1,0.49200000000000005,6.0,15.3,0.392,24.2,31.1,0.777,2005-06,Conf Semis,0.2064777327935223,0.17458777885548013,2005,High
246,Phoenix Suns,0.5,49.0,107.2,40.1,83.1,0.48200000000000004,9.2,23.5,0.391,17.9,21.6,0.831,2005-06,Conf Finals,0.282791817087846,0.25746268656716415,2005,High
247,New Jersey Nets,0.455,48.0,94.2,34.3,75.8,0.452,5.4,17.5,0.307,20.3,26.6,0.7609999999999999,2005-06,Conf Semis,0.23087071240105542,0.17197452229299365,2005,Low
248,Los Angeles Lakers,0.429,49.4,100.6,37.7,83.1,0.45399999999999996,7.1,21.4,0.33299999999999996,18.0,23.6,0.764,2005-06,R1 Exit,0.2575210589651023,0.21172962226640157,2005,Medium
249,Chicago Bulls,0.333,48.0,98.3,34.0,76.3,0.445,7.8,19.8,0.395,22.5,30.3,0.742,2005-06,R1 Exit,0.2595019659239843,0.2380467955239064,2005,High
250,Indiana Pacers,0.333,48.0,89.3,31.2,70.3,0.44299999999999995,6.7,19.5,0.342,20.3,27.2,0.748,2005-06,R1 Exit,0.2773826458036984,0.2250839865621501,2005,Medium
251,Sacramento Kings,0.333,48.8,97.3,34.7,78.2,0.44299999999999995,5.2,15.7,0.33,22.8,28.8,0.792,2005-06,R1 Exit,0.20076726342710996,0.1603288797533402,2005,Medium
252,Washington Wizards,0.333,49.7,101.7,35.3,78.7,0.449,6.2,19.2,0.322,24.8,33.3,0.745,2005-06,R1 Exit,0.2439644218551461,0.18289085545722714,2005,Low
253,Denver Nuggets,0.2,48.0,87.4,32.6,85.8,0.38,3.0,13.6,0.221,19.2,26.4,0.727,2005-06,R1 Exit,0.1585081585081585,0.10297482837528603,2005,Low
254,Milwaukee Bucks,0.2,48.0,97.6,37.8,80.2,0.47100000000000003,5.2,12.4,0.419,16.8,21.4,0.785,2005-06,R1 Exit,0.1546134663341646,0.1598360655737705,2005,High
255,Memphis Grizzlies,0.0,49.3,84.3,30.0,66.5,0.451,3.8,12.0,0.313,20.5,28.3,0.726,2005-06,R1 Exit,0.18045112781954886,0.13523131672597863,2005,Low
256,Miami Heat,0.733,48.7,98.0,36.0,73.1,0.49200000000000005,6.0,15.5,0.38799999999999996,20.0,29.9,0.6679999999999999,2004-05,Conf Finals,0.21203830369357046,0.1836734693877551,2004,High
257,San Antonio Spurs,0.696,48.4,96.9,34.7,76.5,0.45399999999999996,7.1,18.3,0.389,20.4,28.0,0.727,2004-05,Champion,0.23921568627450981,0.21981424148606807,2004,High
258,Detroit Pistons,0.6,48.4,90.3,34.5,79.0,0.43700000000000006,4.5,13.9,0.326,16.8,22.6,0.742,2004-05,Finals,0.1759493670886076,0.14950166112956811,2004,Low
259,Phoenix Suns,0.6,48.3,112.0,41.8,84.8,0.493,8.6,19.7,0.436,19.8,25.8,0.767,2004-05,Conf Finals,0.23231132075471697,0.23035714285714284,2004,High
260,Seattle SuperSonics,0.545,48.0,98.5,35.5,77.5,0.45799999999999996,4.8,15.7,0.306,22.8,28.5,0.799,2004-05,Conf Semis,0.20258064516129032,0.1461928934010152,2004,Low
