teamstatspk,Team,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,three_point_shooting_volume,three_point_total_contribution
703,Orlando Magic,0.524,3991,7992,3013,6873,43.8,490,1346,36.4,1476,2068,71.4,2000-01,0.19583878946602648,0.18393393393393392
704,Indiana Pacers,0.5,3996,7591,2828,6431,44.0,396,1159,34.2,1539,2009,76.6,2000-01,0.1802208054734878,0.1565011197470689
705,Denver Nuggets,0.488,3956,7918,2979,6877,43.3,512,1444,35.5,1448,1964,73.7,2000-01,0.20997527991856915,0.19398838090426876
706,Boston Celtics,0.439,3966,7759,2773,6485,42.8,592,1633,36.3,1621,2190,74.0,2000-01,0.2518118735543562,0.22889547622116252
707,Detroit Pistons,0.39,3971,7837,2919,6880,42.4,389,1112,35.0,1610,2233,72.1,2000-01,0.16162790697674417,0.14890902130917444
708,Los Angeles Clippers,0.378,4006,7581,2896,6467,44.8,360,1063,33.9,1429,2061,69.3,2000-01,0.16437297046543992,0.14246141669964385
709,Cleveland Cavaliers,0.366,3966,7561,2890,6532,44.2,220,659,33.4,1561,2040,76.5,2000-01,0.10088793631353338,0.08729004099986774
710,New Jersey Nets,0.317,3946,7552,2781,6550,42.5,361,1084,33.3,1629,2146,75.9,2000-01,0.16549618320610687,0.14340572033898305
711,Atlanta Hawks,0.305,3946,7459,2876,6668,43.1,333,933,35.7,1374,1811,75.9,2000-01,0.1399220155968806,0.1339321624882692
712,Vancouver Grizzlies,0.28,3956,7522,2870,6539,43.9,325,947,34.3,1457,1892,77.0,2000-01,0.1448233674873834,0.12961978197287954
713,Washington Wizards,0.232,3936,7645,2833,6453,43.9,275,848,32.4,1704,2245,75.9,2000-01,0.13141174647450798,0.1079136690647482
714,Golden State Warriors,0.207,3956,7584,2937,7175,40.9,282,964,29.3,1428,2024,70.6,2000-01,0.1343554006968641,0.1115506329113924
715,Chicago Bulls,0.183,3971,7181,2721,6411,42.4,329,950,34.6,1410,1909,73.9,2000-01,0.1481828107939479,0.13744603815624565
